frame60,ms,ring1InsetFraction,ring1Opacity,ring2InsetFraction,ring2Opacity,boundaryOpacity,reducedBoundaryOpacity
330,5500.0,0.1,0,0.1,0,0.0,0.0
331,5516.6667,0.1,0,0.1,0,0.0,0.0
332,5533.3333,0.1,0,0.1,0,0.0,0.0
333,5550.0,0.1,0,0.1,0,0.0,0.0
334,5566.6667,0.1,0,0.1,0,0.0,0.0
335,5583.3333,0.1,0,0.1,0,0.0,0.0
336,5600.0,0.1,0,0.1,0,0.0,0.0
337,5616.6667,0.1,0,0.1,0,0.0,0.0
338,5633.3333,0.1,0,0.1,0,0.0,0.0
339,5650.0,0.1,0,0.1,0,0.0,0.0
340,5666.6667,0.1,0,0.1,0,0.0,0.0
341,5683.3333,0.1,0,0.1,0,0.0,0.0
342,5700,0.1,0,0.1,0,0.0,0.0
